dimension=1388
startCityIndex=City(index=0, x=0.0, y=131.0)
distance=44202.63166891822
path:
0 -> 26
26 -> 27
27 -> 136
136 -> 458
458 -> 851
851 -> 853
853 -> 637
637 -> 401
401 -> 405
405 -> 403
403 -> 396
396 -> 357
357 -> 533
533 -> 834
834 -> 1026
1026 -> 1037
1037 -> 419
419 -> 307
307 -> 416
416 -> 376
376 -> 260
260 -> 238
238 -> 190
190 -> 1003
1003 -> 1246
1246 -> 1156
1156 -> 997
997 -> 968
968 -> 19
19 -> 17
17 -> 16
16 -> 120
120 -> 284
284 -> 432
432 -> 332
332 -> 309
309 -> 331
331 -> 318
318 -> 757
757 -> 1241
1241 -> 1240
1240 -> 1210
1210 -> 1209
1209 -> 1142
1142 -> 861
861 -> 302
302 -> 218
218 -> 151
151 -> 144
144 -> 271
271 -> 47
47 -> 234
234 -> 375
375 -> 410
410 -> 408
408 -> 489
489 -> 812
812 -> 848
848 -> 648
648 -> 577
577 -> 490
490 -> 329
329 -> 242
242 -> 261
261 -> 237
237 -> 48
48 -> 33
33 -> 34
34 -> 253
253 -> 569
569 -> 1148
1148 -> 1360
1360 -> 1356
1356 -> 1292
1292 -> 636
636 -> 750
750 -> 882
882 -> 1095
1095 -> 1099
1099 -> 1348
1348 -> 1330
1330 -> 1105
1105 -> 92
92 -> 29
29 -> 30
30 -> 201
201 -> 256
256 -> 499
499 -> 987
987 -> 1014
1014 -> 778
778 -> 788
788 -> 550
550 -> 905
905 -> 900
900 -> 317
317 -> 618
618 -> 1192
1192 -> 1193
1193 -> 1160
1160 -> 1163
1163 -> 1343
1343 -> 1225
1225 -> 1327
1327 -> 1347
1347 -> 1300
1300 -> 1097
1097 -> 1279
1279 -> 1328
1328 -> 1377
1377 -> 1081
1081 -> 1000
1000 -> 1387
1387 -> 1269
1269 -> 1110
1110 -> 666
666 -> 584
584 -> 586
586 -> 85
85 -> 109
109 -> 106
106 -> 245
245 -> 338
338 -> 514
514 -> 589
589 -> 703
703 -> 642
642 -> 809
809 -> 1248
1248 -> 760
760 -> 585
585 -> 665
665 -> 897
897 -> 1152
1152 -> 1055
1055 -> 1157
1157 -> 670
670 -> 497
497 -> 444
444 -> 365
365 -> 207
207 -> 290
290 -> 50
50 -> 46
46 -> 165
165 -> 231
231 -> 530
530 -> 556
556 -> 866
866 -> 1015
1015 -> 1029
1029 -> 1028
1028 -> 1049
1049 -> 1273
1273 -> 1337
1337 -> 1355
1355 -> 1252
1252 -> 815
815 -> 426
426 -> 492
492 -> 469
469 -> 418
418 -> 407
407 -> 398
398 -> 701
701 -> 844
844 -> 1021
1021 -> 1035
1035 -> 1103
1103 -> 1039
1039 -> 980
980 -> 936
936 -> 937
937 -> 1175
1175 -> 1101
1101 -> 928
928 -> 852
852 -> 977
977 -> 1169
1169 -> 1204
1204 -> 1250
1250 -> 1308
1308 -> 1271
1271 -> 1274
1274 -> 1275
1275 -> 1284
1284 -> 1321
1321 -> 1341
1341 -> 1342
1342 -> 1154
1154 -> 994
994 -> 792
792 -> 721
721 -> 583
583 -> 477
477 -> 917
917 -> 1006
1006 -> 772
772 -> 644
644 -> 643
643 -> 545
545 -> 364
364 -> 319
319 -> 282
282 -> 388
388 -> 526
526 -> 567
567 -> 558
558 -> 289
289 -> 345
345 -> 346
346 -> 391
391 -> 457
457 -> 355
355 -> 885
885 -> 886
886 -> 1100
1100 -> 1259
1259 -> 1376
1376 -> 1352
1352 -> 1230
1230 -> 1334
1334 -> 1367
1367 -> 1361
1361 -> 1339
1339 -> 1234
1234 -> 177
177 -> 118
118 -> 159
159 -> 339
339 -> 272
272 -> 270
270 -> 1138
1138 -> 1208
1208 -> 1311
1311 -> 1357
1357 -> 1313
1313 -> 1165
1165 -> 1168
1168 -> 1167
1167 -> 699
699 -> 575
575 -> 770
770 -> 782
782 -> 749
749 -> 925
925 -> 1076
1076 -> 1078
1078 -> 1221
1221 -> 1257
1257 -> 1202
1202 -> 979
979 -> 732
732 -> 748
748 -> 768
768 -> 638
638 -> 697
697 -> 693
693 -> 1065
1065 -> 1186
1186 -> 952
952 -> 983
983 -> 1166
1166 -> 1139
1139 -> 568
568 -> 659
659 -> 431
431 -> 280
280 -> 474
474 -> 335
335 -> 333
333 -> 737
737 -> 755
755 -> 720
720 -> 674
674 -> 677
677 -> 762
762 -> 998
998 -> 1073
1073 -> 1320
1320 -> 1315
1315 -> 967
967 -> 870
870 -> 798
798 -> 780
780 -> 731
731 -> 926
926 -> 1298
1298 -> 1203
1203 -> 1325
1325 -> 1299
1299 -> 1094
1094 -> 1164
1164 -> 1255
1255 -> 1086
1086 -> 1220
1220 -> 1249
1249 -> 1190
1190 -> 769
769 -> 702
702 -> 52
52 -> 8
8 -> 56
56 -> 236
236 -> 239
239 -> 604
604 -> 785
785 -> 1012
1012 -> 1047
1047 -> 1045
1045 -> 891
891 -> 411
411 -> 171
171 -> 53
53 -> 174
174 -> 241
241 -> 149
149 -> 100
100 -> 63
63 -> 226
226 -> 488
488 -> 532
532 -> 397
397 -> 464
464 -> 321
321 -> 452
452 -> 916
916 -> 1215
1215 -> 1197
1197 -> 1216
1216 -> 846
846 -> 534
534 -> 315
315 -> 240
240 -> 59
59 -> 229
229 -> 449
449 -> 441
441 -> 387
387 -> 639
639 -> 394
394 -> 539
539 -> 111
111 -> 83
83 -> 192
192 -> 306
306 -> 360
360 -> 137
137 -> 187
187 -> 223
223 -> 4
4 -> 49
49 -> 193
193 -> 327
327 -> 1126
1126 -> 1123
1123 -> 1206
1206 -> 1331
1331 -> 1346
1346 -> 1371
1371 -> 1314
1314 -> 1293
1293 -> 1379
1379 -> 1381
1381 -> 1382
1382 -> 718
718 -> 825
825 -> 681
681 -> 683
683 -> 523
523 -> 799
799 -> 1020
1020 -> 867
867 -> 954
954 -> 965
965 -> 863
863 -> 940
940 -> 963
963 -> 898
898 -> 899
899 -> 902
902 -> 700
700 -> 593
593 -> 400
400 -> 257
257 -> 292
292 -> 353
353 -> 560
560 -> 390
390 -> 440
440 -> 554
554 -> 826
826 -> 1358
1358 -> 1195
1195 -> 913
913 -> 865
865 -> 483
483 -> 496
496 -> 478
478 -> 314
314 -> 25
25 -> 60
60 -> 71
71 -> 69
69 -> 62
62 -> 94
94 -> 215
215 -> 208
208 -> 114
114 -> 24
24 -> 214
214 -> 5
5 -> 7
7 -> 406
406 -> 862
862 -> 935
935 -> 892
892 -> 938
938 -> 1338
1338 -> 1307
1307 -> 964
964 -> 874
874 -> 781
781 -> 166
166 -> 51
51 -> 216
216 -> 210
210 -> 498
498 -> 1354
1354 -> 1368
1368 -> 754
754 -> 630
630 -> 625
625 -> 628
628 -> 551
551 -> 486
486 -> 513
513 -> 515
515 -> 519
519 -> 949
949 -> 1022
1022 -> 734
734 -> 735
735 -> 753
753 -> 819
819 -> 722
722 -> 601
601 -> 996
996 -> 1146
1146 -> 1239
1239 -> 557
557 -> 348
348 -> 251
251 -> 204
204 -> 675
675 -> 1191
1191 -> 1276
1276 -> 1140
1140 -> 1194
1194 -> 1212
1212 -> 1270
1270 -> 738
738 -> 80
80 -> 78
78 -> 247
247 -> 248
248 -> 135
135 -> 351
351 -> 356
356 -> 254
254 -> 305
305 -> 293
293 -> 330
330 -> 142
142 -> 140
140 -> 312
312 -> 680
680 -> 739
739 -> 623
623 -> 743
743 -> 889
889 -> 896
896 -> 1033
1033 -> 1091
1091 -> 901
901 -> 941
941 -> 1050
1050 -> 1056
1056 -> 1053
1053 -> 1054
1054 -> 827
827 -> 761
761 -> 631
631 -> 439
439 -> 480
480 -> 362
362 -> 274
274 -> 276
276 -> 521
521 -> 562
562 -> 746
746 -> 690
690 -> 691
691 -> 451
451 -> 453
453 -> 455
455 -> 849
849 -> 646
646 -> 647
647 -> 1075
1075 -> 1069
1069 -> 1068
1068 -> 1316
1316 -> 1323
1323 -> 1345
1345 -> 1326
1326 -> 1329
1329 -> 1226
1226 -> 1258
1258 -> 1378
1378 -> 714
714 -> 470
470 -> 288
288 -> 266
266 -> 126
126 -> 138
138 -> 316
316 -> 283
283 -> 467
467 -> 506
506 -> 482
482 -> 9
9 -> 57
57 -> 55
55 -> 68
68 -> 117
117 -> 75
75 -> 102
102 -> 73
73 -> 389
389 -> 438
438 -> 668
668 -> 590
590 -> 450
450 -> 442
442 -> 966
966 -> 995
995 -> 1324
1324 -> 1322
1322 -> 1074
